adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/tMyVb5CXHnBLQ8V7s0FuFA5V9nP.jpg,"[12, 18]",334533,en,Captain Fantastic,A father living in the forests of the Pacific Northwest with his six young kids tries to assimilate back into society.,23.732,/2sFME73GaD8UsUxPUKe60cPdLif.jpg,2016-07-08,Captain Fantastic,False,7.915,6063
False,/y41qhCHR7bC0HTg5bdxaegbRCKg.jpg,"[878, 16, 28, 12]",183011,en,Justice League: The Flashpoint Paradox,The Flash finds himself in a war-torn alternate timeline and teams up with alternate versions of his fellow heroes to restore the timeline.,25.234,/ek9SvmkUfh5QwRGIfK0il4Dfnpe.jpg,2013-07-30,Justice League: The Flashpoint Paradox,False,7.915,1710
False,/mUYV0ZdsDEliGaQahcQH1F3grsP.jpg,"[16, 10751, 12]",10674,en,Mulan,"To save her father from certain death in the army, a young woman secretly enlists in his place and becomes one of China's greatest heroines in the process.",81.736,/5TYgKxYhnhRNNwqnRAKHkgfqi2G.jpg,1998-06-18,Mulan,False,7.915,9000
False,/n7zm7vcZ5m2nSV9Scyh2axpY8d4.jpg,"[80, 18]",1646,en,Freedom Writers,"A young teacher inspires her class of at-risk students to learn tolerance, apply themselves, and pursue education beyond high school.",31.697,/81AdeUQT99N0xPg3j6RVh0YGOTk.jpg,2007-01-05,Freedom Writers,False,7.915,2037
False,/bJXVRtm2zZ2g7IfgGSlTCNA8iDM.jpg,[37],33,en,Unforgiven,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",38.484,/54roTwbX9fltg85zjsmrooXAs12.jpg,1992-08-07,Unforgiven,False,7.9,4012
False,/u2nPH7STKcz8ddpvxo8Ler1SvPc.jpg,"[35, 80]",20271,it,Divorzio all'italiana,"Ferdinando Cefalù is desperate to marry his cousin, Angela, but he is married to Rosalia and divorce is illegal in Italy. To get around the law, he tries to trick his wife into having an affair so he can catch her and murder her, as he knows he would be given a light sentence for killing an adulterous woman. He persuades a painter to lure his wife into an affair, but Rosalia proves to be more faithful than he expected.",9.703,/vZbdSpUFyFiDBBTY0AiSrN9f303.jpg,1961-12-20,Divorce Italian Style,False,7.914,390
False,/vEtMkoZvDa7tNAQpP78ofxMIxIi.jpg,[18],47796,it,Mamma Roma,"After years spent working as a prostitute in her Italian village, middle-aged Mamma Roma has saved enough money to buy herself a fruit stand so that she can have a respectable middle-class life and reestablish contact with the 16-year-old son she abandoned when he was an infant. But her former pimp threatens to expose her sordid past, and her troubled son seems destined to fall into a life of crime and violence.",8.082,/gA4TiFDgmKMsorIMIaNwi1FRNOA.jpg,1962-09-22,Mamma Roma,False,7.912,377
False,/5ZoFGrFCKP0QrcfVwOIHiAwunBg.jpg,"[18, 10749, 14]",122906,en,About Time,"The night after another unsatisfactory New Year's party, Tim's father tells his son that the men in his family have always had the ability to travel through time. They can't change history, but they can change what happens and has happened in their own lives. Thus begins the start of a lesson in learning to appreciate life itself as it is, as it comes, and most importantly, the people living alongside us.",46.887,/iR1bVfURbN7r1C46WHFbwCkVve.jpg,2013-09-04,About Time,False,7.911,7848
False,/xbTxvQ9dC7ci2tXM4EVj1qPufsY.jpg,"[18, 14, 27]",10728,de,Faust – Eine deutsche Volkssage,"God and Satan war over earth; to settle things, they wager on the soul of Faust, a learned and prayerful alchemist.",8.738,/rN703hMFxmkZfyEzsXvFtuFhkXE.jpg,1926-10-13,Faust,False,7.911,310
False,/6N1uy1r66mXHefU3gG9ePZgijCW.jpg,"[28, 80, 18]",949,en,Heat,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,54.871,/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,1995-12-15,Heat,False,7.911,6641
False,/jKgLVAhoq4fXBs1C9Gjvap93fxd.jpg,"[9648, 10749, 53, 18]",223,en,Rebecca,"Story of a young woman who marries a fascinating widower only to find out that she must live in the shadow of his former wife, Rebecca, who died mysteriously several years earlier. The young wife must come to grips with the terrible secret of her handsome, cold husband, Max De Winter. She must also deal with the jealous, obsessed Mrs. Danvers, the housekeeper, who will not accept her as the mistress of the house.",17.874,/1qz3qUOHnVy7dL7M7G8jSErxE4b.jpg,1940-03-23,Rebecca,False,7.911,1605
False,/h81gVvHitMCp5ZmLyFUjHX4zjd6.jpg,"[18, 10752]",31442,ru,Иваново детство,"In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers.",16.56,/vmRWSLP1DE9WTta0hfzIafJ0dID.jpg,1962-05-09,Ivan's Childhood,False,7.91,648
False,/6kqybERm5qi2jGpu8I7DaQPxpSU.jpg,"[16, 18]",2011,fr,Persepolis,"In 1970s Iran, Marjane 'Marji' Statrapi watches events through her young eyes and her idealistic family of a long dream being fulfilled of the hated Shah's defeat in the Iranian Revolution of 1979. However as Marji grows up, she witnesses first hand how the new Iran, now ruled by Islamic fundamentalists, has become a repressive tyranny on its own.",11.999,/aU8i2QAdTyRR1nYb36Gq51xXP8p.jpg,2007-06-27,Persepolis,False,7.909,1783
False,/6mJrgL7Mi13XjJeGYJFlD6UEVQw.jpg,"[16, 10751]",438695,en,Sing 2,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",124.477,/aWeKITRFbbwY8txG5uCj4rMCfSP.jpg,2021-12-01,Sing 2,False,7.907,3978
False,/uLtVbjvS1O7gXL8lUOwsFOH4man.jpg,"[28, 878, 12]",118340,en,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",48.935,/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,2014-07-30,Guardians of the Galaxy,False,7.906,26816
